iter	Logloss
0	0.679093344911	0.666480057122	0.654304492633	0.642202186744	0.630154389755	0.618639338866	0.609123073777	0.598778697
8	0.587997394199	0.5785908083
10	0.5689290989111	0.5599309164
12	0.5524674368113	0.544129414	114	0.536930015	15	0.5285037516	16	0.5221217775
17	0.5154208675
18	0.5092232418
19	0.5039944498
20	0.4985194712
21	0.4933430194
22	0.4884831093
23	0.4833167163
24	0.4791736567
25	0.4750093996
26	0.4706493072
27	0.466398811
28	0.4627319563
29	0.4595875092
30	0.4559785925
31	0.4529084786
32	0.4494743134
333	0.450259296534	0.4436501729
35	0.4408174937
36	0.4382072747
37	0.4358131792
38	0.4334833298
39	0.4311051751
40	0.4287275318
41	0.426308687
42	0.424031263
43	0.4225766201
44	0.420785261
45	0.4190021707
46	0.4172444264
47	0.4153001384
48	0.4136834455
49	049	0.4126843550	50	0.4116735151	51	0.4101695252	52	0.4090695353	53	0.4078535454	54	0.4066952755	55	0.4054591656	56	0.4039539557	57	0.402867058	058	0.4017459	0.459	0.4005075094
60	0.3997021518
61	0.3985625691
62	0.3976647437
63	0.3966043996
64	0.3956912573
65	0.3948233375
66	0.3937627525
67	0.3929283197
68	0.3922266485
69	0.3911347538
70	0.390461332
71	0.3896307325
72	0.3889879268
73	0.3884253095
74	0.3876523453
75	0.3870606147
76	0.3864354987
77	0.3859529869
78	0.385262687
79	0.3846284904
80	0.383942793
81	0.3832941127
82	0.3828064657
83	0.3821519959
84	0.3815546059
85	0.3812375968
86	0.3806391867
87	0.3801469743
88	0.3797624897
89	0.3791538698
90	0.3786203867
91	0.3781926214
92	0.3778036388
93	0.3774911876
94	0.3770065112
95	0.3766149526
96	0.376137115
97	0.3758626341
98	0.375423649
99	0.3750363911
100	0.3747794667
101	0.3744946999
102	0.3741715727
103	0.3738646778
104	0.3734018116
105	0.3729831345
106	0.3728035439
107	0.3725127867
108	0.3722361292
109	0.3720577785
110	0.3718393428
111	0.3714286209
112	0.3712522811
113	0.3710645118
114	0.3706306637
115	0.3703864398
116	0.3701285743
117	0.3698493043
118	0.3696603662
119	0.3694772699
120	0.3692117451
121	0.3688309769
122	0.3685758263
123	0.3682299233
124	0.3680446019
125	0.3678358721
126	0.3674965448
127	0.367191728
128	0.3669861225
129	0.3667962162
130	0.3667076417
131	0.3664656016
132	0.3663349975
133	0.366029081
134	0.3659266545
135	0.3658062245
136	0.3656111449
137	0.3654099441
138	0.3652585951
139	0.3651027667
140	0.3649494644
141	0.3647514035
142	0.3644463304
143	0.3640573576
144	0.363792305
145	0.3636112708
146	0.3633963182
147	0.3632830026
148	0.3629748777
149	0.3628386342
150	0.3626438665
151	0.3624692485
152	0.3622200506
153	0.3620594984
154	0.3618346995
155	0.3617194012
156	0.3616233667
157	0.3615297506
158	0.3614038663
159	0.3610368828
160	0.3608306154
161	0.3607062746
162	0.3605707763
163	0.3604450504
164	0.3603456966
165	0.3601041218
166	0.3600028021
167	0.3597975533
168	0.3597120479
169	0.3595045288
170	0.3592045606
171	0.3590245077
172	0.3588502489
173	0.3587600716
174	0.3586949725
175	0.358541645
176	0.3583859178
177	0.3581798346
178	0.3580929583
179	0.3578513723
180	0.3576843022
181	0.3575931547
182	0.3574994564
183	0.357411773
184	0.3572152964
185	0.3571211817
186	0.3569024822
187	0.3567718679
188	0.3565609468
189	0.3562334404
190	0.3560543765
191	0.3560268817
192	0.3559447509
193	0.3557028228
194	0.3556668186
195	0.3556161116
196	0.3555584273
197	0.3554019743
198	0.3552242853
199	0.3551437802
200	0.3548421811
201	0.35473881
202	0.3545161701
203	0.3543949426
204	0.3542723184
205	0.3541509703
206	0.3541093562
207	0.3540267484
208	0.3539970464
209	0.3538946377
210	0.3537277184
211	0.3536330864
212	0.3535731553
213	0.3534967296
214	0.3532070086
215	0.3530633526
216	0.3528741666
217	0.352817756
218	0.352767905
219	0.352605627
220	0.3525446018
221	0.3524784699
222	0.352374756
223	0.3522412924
224	0.3520073171
225	0.3519964615
226	0.3519148154
227	0.3518504163
228	0.3517849972
229	0.3516912076
230	0.3516515981
231	0.3516046777
232	0.3514857207
233	0.234	0.35449234	0.3511757755
235	0.3508322711
236	0.3508055549
237	0.3505442664
238	0.3504578348
239	0.350355591
240	0.3502557375
241	0.3501856674
242	0.3500867363
243	0.3500099633
244	0.349951214
245	0.3499108226
246	0.3247	0.3529247	0.3248	0.3528248	0.3249	0.352249	0.34250	0.3526987744
251	0.3526260151
252	0.3525569499
253	0.352389486
254	0.3522908211
255	0.3522189249
256	0.3520940459
257	0.3520134462
258	0.3519874257
259	0.3519437147
260	0.3519087701
261	0.3518509187
262	0.351796124
263	0.3517440047
264	0.3516658782
265	0.3515829662
266	0.3514954134
267	0.3513581807
268	0.3512449146
269	0.3511933374
270	0.3511340889
271	0.3509612888
272	0.3508828839
273	0.3508305887
274	0.3507262282
275	0.3506003845
276	0.3504993376
277	0.3504130349
278	0.3502870766
279	0.3501508691
280	0.350057174
281	0.3500213679
282	0.3498125554
283	0.3497935984
284	0.34968613
285	0.3495460206
286	0.3494022171
287	0.349327821
288	0.3492950217
289	0.3492361903
290	0.3492035509
291	0.3491844049
292	0.3491244791
293	0.3490374396
294	0.3489905672
295	0.348828678
296	0.3487954968
297	0.3486866514
298	0.3485722569
299	0.3484557191
300	0.3483890422
301	0.3481288233
302	0.3480046335
303	0.3478320936
304	0.3477759044
305	0.3477657292
306	0.3476536633
307	0.3475967155
308	0.3474941856
309	0.3473269579
310	0.3472362449
311	0.3471344179
312	0.3471183628
313	0.3470208202
314	0.3469863699
315	0.3469663776
316	0.3469445319
317	0.3468904658
318	0.3468372894
319	0.3467553987
320	0.3466638594
321	0.3466053965
322	0.3465711676
323	0.3463355478
324	0.3461258727
325	0.3461022913
326	0.3460409503
327	0.3459980953
328	0.3458695662
329	0.3458239496
330	0.3457761732
331	0.3456853282
332	0.3455807002
333	0.345470708
334	0.3453018856
335	0.3451560883
336	0.3450904798
337	0.3449629983
338	0.3448952077
339	0.3447834596
340	0.3447370797
341	0.3446727648
342	0.3445595241
343	0.3444543642
344	0.3443969999
345	0.3442972785
346	0.3442632816
347	0.3440640653
348	0.3440026338
349	0.3438824026
350	0.3438416211
351	0.3437788459
352	0.3437656955
353	0.3436291355
354	0.3435863261
355	0.3433575354
356	0.3432371525
357	0.3430783094
358	0.3429157715
359	0.3428830617
360	0.3426802076
361	0.3425422083
362	0.342463039
363	0.3423997074
364	0.342309489
365	0.3422292705
366	0.3421636636
367	0.3418681832
368	0.3417102832
369	0.3416769681
370	0.3415971821
371	0.3415380062
372	0.3414143438
373	0.3413889764
374	0.3412270231
375	0.3410921447
376	0.3410410274
377	0.3410020734
378	0.3409077379
379	0.3408614678
380	0.3408095265
381	0.3406570992
382	0.3405519895
383	0.3404993542
384	0.3404389292
385	0.3402353994
386	0.3400254088
387	0.3399184753
388	0.3398328128
389	0.3397827411
390	0.3396094735
391	0.3395426973
392	0.3394490818
393	0.3391982602
394	0.3391453062
395	0.339043521
396	0.3388555728
397	0.3387977749
398	0.3386708508
399	0.3386107676
400	0.3384277415
401	0.3383177125
402	0.3382618594
403	0.3380900147
404	0.3380101683
405	0.3377922807
406	0.3376565893
407	0.3374628114
408	0.3373468119
409	0.3372457349
410	0.337116265
411	0.3368177602
412	0.3368086134
413	0.3367726217
414	0.3367195431
415	0.3366862768
416	0.336588079
417	0.3364530032
418	0.3362244359
419	0.3360392109
420	0.3359576808
421	0.3359333307
422	0.3358076583
423	0.3357578586
424	0.3356184211
425	0.3353232421
426	0.3352000348
427	0.3350889992
428	0.3348963005
429	0.3346677777
430	0.3345248598
431	0.3344023617
432	0.3342649891
433	0.3341124812
434	0.334030141
435	0.3339654237
436	0.3339061881
437	0.3338386368
438	0.3336214881
439	0.3335934461
440	0.3334904851
441	0.3333959337
442	0.3333616275
443	0.3333194328
444	0.333152833
445	0.3330134404
446	0.3329087276
447	0.3327067393
448	0.3326694586
449	0.3326027398
450	0.3325118163
451	0.3323183594
452	0.3322940907
453	0.3321389528
454	0.332048131
455	0.3319703483
456	0.3316990447
457	0.3316207637
458	0.33157125
459	0.3313560716
460	0.3311066706
461	0.3310366518
462	0.3309314992
463	0.3308158355
464	0.3307923022
465	0.3305715209
466	0.3304374444
467	0.3304181699
468	0.3302828213
469	0.3302281408
470	0.3300504466
471	0.3296961394
472	0.3295417644
473	0.3293775295
474	0.3291500362
475	0.3289041732
476	0.3288465727
477	0.3287366891
478	0.3285547028
479	0.3283300928
480	0.3281807121
481	0.3280994249
482	0.3280828832
483	0.3279203944
484	0.3278472367
485	0.3276590264
486	0.3276018194
487	0.327404443
488	0.327389567
489	0.3273190016
490	0.3272307179
491	0.3270464351
492	0.3269184498
493	0.3268659649
494	0.3268043836
495	0.3266064565
496	0.3265494801
497	0.3263291931
498	0.3262584051
499	0.3260540396
500	0.3260008401
501	0.3257624738
502	0.3256341089
503	0.3255589271
504	0.3253319876
505	0.3250852029
506	0.3247817198
507	0.3245828027
508	0.3245135397
509	0.32448248
510	0.3244336667
511	0.3242671117
512	0.3241489921
513	0.3240967931
514	0.323959234
515	0.3238147029
516	0.3237818946
517	0.3236582252
518	0.3235944157
519	0.323494197
520	0.3233009764
521	0.3231848317
522	0.323109259
523	0.3229661389
524	0.3227807456
525	0.3226567579
526	0.3225646567
527	0.3224271327
528	0.3223948993
529	0.3222269533
530	0.3221233192
531	0.3219157152
532	0.3218072335
533	0.3216395352
534	0.3215184592
535	0.3214459376
536	0.321299429
537	0.3211381811
538	0.3210215494
539	0.3209582995
540	0.320887821
